has_collection,budget_processed,log_budget,genres_reform,num_genres,genre_rank,log_num_genres,log_genre_rank,has_homepage,in_english,production_companies_reform,topStudio,log_num_studios,log_numTopStudios,log_overview_len,log_day_of_week,log_year,log_month,log_season,has_poster_path,eng,num_production_countries,usa_produced,topLeadDirector,numTopDirectors,topLeadExecProd,numTopExecProd,topLeadProducer,numTopProducers,topLeadComposer,numTopComposers,topLeadDirectorPhoto,numTopDirectorsPhoto,topLeadEditor,numTopEditors,log_num_crew,log_num_male_crew,log_num_female_crew,runtime_processed,log_runtime,log_title_len,log_num_cast,topLeadActor,log_numTopActors,log_revenue
Belongs in Collection,1000000,13.815511557963774,['Drama'],1,4,0.6931471805599453,1.6094379124341003,0,1,['United Artists'],0,0.6931471805599453,0.0,5.771441123130016,2.0794415416798357,7.589335823170617,2.4849066497880004,1.3862943611198906,1,English is Spoken Language,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3.4657359027997265,2.8903717578961645,2.8903717578961645,119.0,4.787491742782046,1.791759469228055,3.58351893845611,0,0.6931471805599453,18.57969228775781
Belongs in Collection,16000000,0.0,['Comedy'],1,9,0.6931471805599453,2.302585092994046,0,1,"['Twentieth Century Fox Film Corporation', 'Amercent Films', 'American Entertainment Partners L.P.', 'Interscope Communications']",1,1.6094379124341003,0.0,5.673323267171493,1.791759469228055,7.59488438721652,2.0794415416798357,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.6931471805599453,0.6931471805599453,98.0,4.59511985013459,3.7612001156935624,2.70805020110221,0,0.0,16.935318648253194
Not in Collection,15000000,16.52356082573315,['Drama'],1,4,0.6931471805599453,1.6094379124341003,1,1,"['DreamWorks SKG', 'Jinks/Cohen Company']",1,1.0986122886681098,0.6931471805599453,5.170483995038151,1.3862943611198906,7.600902459542082,2.302585092994046,0.6931471805599453,1,English is Spoken Language,1,1,0,0,0,0,0,0,1,1,0,1,1,1,4.700480365792417,3.367295829986474,3.367295829986474,122.0,4.812184355372417,2.772588722239781,3.713572066704308,0,0.0,19.691274093623488
Belongs in Collection,53000000,17.78580249038432,"['Comedy', 'Crime']",2,9,1.0986122886681098,2.302585092994046,0,1,"['Double Feature Films', 'Jersey Films', 'Nina Saxon Film Design', 'Metro-Goldwyn-Mayer (MGM)']",0,1.6094379124341003,0.0,4.90527477843843,1.791759469228055,7.603897968521881,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,1,1,0,1,1,0,2.9444389791664403,2.6390573296152584,2.6390573296152584,118.0,4.77912349311153,2.0794415416798357,4.07753744390572,0,0.0,18.371764800373036
Not in Collection,102000000,18.440483381052466,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",4,15,1.6094379124341003,2.772588722239781,0,1,"['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']",1,2.0794415416798357,1.0986122886681098,5.375278407684165,1.6094379124341003,7.602401335665818,1.9459101490553132,1.0986122886681098,1,English is Spoken Language,1,1,1,1,0,0,0,0,1,1,1,1,1,2,5.056245805348308,3.6635616461296463,3.6635616461296463,145.0,4.983606621708336,2.772588722239781,3.1780538303479458,1,1.0986122886681098,19.69708469770741
Not in Collection,500000,13.122365377402328,"['Action', 'Crime', 'Drama']",3,15,1.3862943611198906,2.772588722239781,1,0,['Hypnopolis'],0,0.6931471805599453,0.0,5.7745515455444085,1.3862943611198906,7.606387389772652,2.3978952727983707,1.0986122886681098,1,English is Not Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.258096538021482,0.6931471805599453,0.6931471805599453,97.0,4.584967478670572,2.1972245773362196,2.5649493574615367,0,0.0,5.293304824724492
Not in Collection,26000000,17.073607134447293,"['Horror', 'Thriller']",2,10,1.0986122886681098,2.3978952727983707,0,1,"['DreamWorks SKG', 'Craven-Maddalena Films', 'BenderSpink']",1,1.3862943611198906,0.6931471805599453,6.313548046277095,1.6094379124341003,7.603897968521881,2.1972245773362196,0.0,1,English is Spoken Language,1,1,0,1,0,1,1,2,0,1,0,1,0,0,3.58351893845611,2.302585092994046,2.302585092994046,85.0,4.454347296253507,2.0794415416798357,3.2188758248682006,0,0.0,17.87408637811931
Not in Collection,16000000,0.0,"['Drama', 'Romance']",2,4,1.0986122886681098,1.6094379124341003,0,1,"['BBC Films', 'Headline Pictures', 'Magnolia Mae Films', 'Taeoo Entertainment']",0,1.6094379124341003,0.0,5.594711379601839,1.3862943611198906,7.607878073278507,2.5649493574615367,0.0,1,English is Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265,1.6094379124341003,1.6094379124341003,111.0,4.718498871295094,2.995732273553991,2.995732273553991,0,0.6931471805599453,14.025978107156048
Not in Collection,8000000,15.894952224644102,"['Comedy', 'Romance']",2,9,1.0986122886681098,2.302585092994046,0,1,"['UK Film Council', 'Prescience', 'Aegis Film Fund', 'Kaleidoscope Films']",0,1.6094379124341003,0.0,5.634789603169249,1.3862943611198906,7.60688453121963,1.0986122886681098,1.0986122886681098,1,English is Spoken Language,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,1.0986122886681098,96.0,4.574710978503383,2.4849066497880004,3.1780538303479458,0,0.0,14.374816583642607
Belongs in Collection,32000000,17.281246492014,"['Action', 'Thriller', 'Crime']",3,15,1.3862943611198906,2.772588722239781,0,1,"['Twentieth Century Fox Film Corporation', 'Current Entertainment', 'TF1 Films Production', 'Canal+', 'TPS Star', 'EuropaCorp', 'Sea Side Films Florida Inc.']",1,2.0794415416798357,0.0,5.796057750765372,1.0986122886681098,7.603897968521881,2.1972245773362196,0.0,1,English is Spoken Language,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8903717578961645,2.302585092994046,2.302585092994046,87.0,4.477336814478207,2.6390573296152584,2.3978952727983707,0,0.0,18.260132107446047
Not in Collection,80000000,18.197537205138154,"['Adventure', 'Family', 'Science Fiction']",3,19,1.3862943611198906,2.995732273553991,0,1,"['New Line Cinema', 'Irwin Allen Productions', 'Prelude Pictures', 'Saltire Entertainment']",1,1.6094379124341003,0.6931471805599453,5.676753802268282,1.791759469228055,7.6004023345004,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,1,1,0,1,0,1,0,0,0,0,4.795790545596741,3.258096538021482,3.258096538021482,130.0,4.875197323201151,2.6390573296152584,3.044522437723423,0,0.6931471805599453,18.729336992463118
Belongs in Collection,4000000,15.201805169084134,"['Horror', 'Thriller']",2,10,1.0986122886681098,2.3978952727983707,0,1,"['Paramount Pictures', 'Jason Productions']",1,1.0986122886681098,0.6931471805599453,5.442417710521793,1.791759469228055,7.592366128519796,2.1972245773362196,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,2.1972245773362196,2.1972245773362196,95.0,4.564348191467836,3.2188758248682006,2.772588722239781,0,0.0,17.418016649695787
Belongs in Collection,16000000,0.0,"['Thriller', 'Horror']",2,12,1.0986122886681098,2.5649493574615367,1,1,"['The Collective', 'Bloody Disgusting', '8383 Productions']",0,1.3862943611198906,0.0,5.176149732573829,1.9459101490553132,7.607381425639791,2.0794415416798357,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.995732273553991,2.70805020110221,2.70805020110221,116.0,4.762173934797756,1.791759469228055,3.4339872044851463,0,0.0,11.516379492941743
Not in Collection,16000000,0.0,"['Thriller', 'Mystery', 'Foreign']",3,12,1.3862943611198906,2.5649493574615367,1,1,"['\\xa0Braeburn Entertainment', '\\xa0Check Entertainment', 'G.C. Pix\\xa0']",0,1.3862943611198906,0.0,6.579251212010101,1.791759469228055,7.60688453121963,2.302585092994046,0.6931471805599453,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3978952727983707,1.3862943611198906,1.3862943611198906,92.0,4.532599493153256,2.0794415416798357,2.995732273553991,0,0.0,9.741674256373525
Not in Collection,16000000,0.0,"['Horror', 'Comedy']",2,10,1.0986122886681098,2.3978952727983707,1,1,"['New Zealand Film Commission', 'Live Stock Films']",0,1.0986122886681098,0.0,5.4510384535657,1.9459101490553132,7.604396348796338,2.302585092994046,0.6931471805599453,1,English is Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3978952727983707,1.791759469228055,1.791759469228055,87.0,4.477336814478207,2.4849066497880004,2.6390573296152584,0,0.0,15.414437018146035
Not in Collection,16000000,0.0,"['Comedy', 'Horror', 'Mystery', 'Thriller']",4,9,1.6094379124341003,2.302585092994046,0,1,"['Universal Pictures', 'Dark Horse Entertainment', 'Largo Entertainment', 'JVC Entertainment Networks']",1,1.6094379124341003,0.0,6.137727054086234,1.791759469228055,7.597396320212795,2.3978952727983707,1.0986122886681098,1,English is Spoken Language,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2.70805020110221,1.9459101490553132,1.9459101490553132,95.0,4.564348191467836,2.4849066497880004,2.772588722239781,0,0.0,15.944150989797505
Not in Collection,10000000,16.118095750958314,"['Crime', 'Drama', 'Mystery', 'Thriller']",4,5,1.6094379124341003,1.791759469228055,0,1,"['Jean Doumanian Productions', 'Sweetland Films', 'Magnolia Films', 'Jasmine Productions Inc.']",0,1.6094379124341003,0.0,4.787491742782046,0.6931471805599453,7.599901959208498,2.302585092994046,0.6931471805599453,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.9444389791664403,2.1972245773362196,2.1972245773362196,110.0,4.709530201312334,3.044522437723423,1.9459101490553132,0,0.0,16.44272163989704
Not in Collection,11000000,16.213405921671733,"['Drama', 'Comedy', 'Romance']",3,4,1.3862943611198906,1.6094379124341003,0,1,"['Fastnet Films', 'Caramel Film', 'No Trace Camping']",0,1.3862943611198906,0.0,6.298949246855942,1.9459101490553132,7.607878073278507,2.302585092994046,0.6931471805599453,1,English is Spoken Language,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,1.3862943611198906,1.3862943611198906,93.0,4.543294782270004,2.0794415416798357,3.2188758248682006,0,0.0,15.87564197854684
Not in Collection,6000000,15.607270193858982,['Animation'],1,16,0.6931471805599453,2.833213344056216,0,1,"['De Laurentiis Entertainment Group (DEG)', 'Marvel Productions', 'Hasbro', 'Sunbow Productions']",0,1.6094379124341003,0.0,5.298317366548036,1.791759469228055,7.594381242551817,2.1972245773362196,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9444389791664403,1.3862943611198906,1.3862943611198906,84.0,4.442651256490317,3.332204510175204,3.5263605246161616,0,0.0,15.581892046457524
Not in Collection,45000000,17.622173069956816,"['Action', 'Adventure', 'Crime', 'Thriller']",4,15,1.6094379124341003,2.772588722239781,0,1,['Paramount Pictures'],1,0.6931471805599453,0.6931471805599453,6.194405391104672,2.0794415416798357,7.602401335665818,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,1,1,0,1,0,0,2.1972245773362196,1.791759469228055,1.791759469228055,89.0,4.499809670330265,2.70805020110221,2.4849066497880004,0,0.6931471805599453,18.36871106297223
Not in Collection,13000000,16.380459992348886,"['Drama', 'Comedy']",2,4,1.0986122886681098,1.6094379124341003,0,0,"['Gaumont', 'TF1 Films Production', 'Canal+', 'CinéCinéma', 'Quad Productions', 'Chaocorp', 'Ten Films', 'TF1']",0,2.1972245773362196,0.0,5.043425116919247,1.3862943611198906,7.60688453121963,2.4849066497880004,1.3862943611198906,1,English is Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5553480614894135,1.6094379124341003,1.6094379124341003,112.0,4.727387818712341,2.833213344056216,3.4965075614664802,0,0.0,19.871078075121222
Not in Collection,16000000,0.0,"['Mystery', 'Drama', 'Thriller']",3,8,1.3862943611198906,2.1972245773362196,1,0,"['Les Films du Losange', 'Wega Film', 'BIM Distribuzione', 'Centre National de la Cinématographie', 'Filmstiftung Nordrhein-Westfalen', 'France 3 Cinéma', 'Eurimages', 'Bavaria Film', 'Canal+', 'Studio Canal', 'Arte France Cinéma', 'Westdeutscher Rundfunk (WDR)', 'Filmfonds Wien', 'ORF Film/Fernseh-Abkommen', 'Österreichisches Filminstitut']",0,2.772588722239781,0.0,4.465908118654584,0.6931471805599453,7.603897968521881,1.791759469228055,0.6931471805599453,1,English is Not Spoken Language,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9444389791664403,2.302585092994046,2.302585092994046,117.0,4.770684624465665,1.791759469228055,2.70805020110221,0,0.0,17.399029524198163
Not in Collection,90000000,18.31532023940565,"['Fantasy', 'Action', 'Adventure']",3,14,1.3862943611198906,2.70805020110221,1,1,"['Summit Entertainment', 'Atmosphere Entertainment MM', 'One Race Films', 'Goldmann Pictures', 'NeoReel', 'Aperture Entertainment', 'TIK Films']",1,2.0794415416798357,0.6931471805599453,6.60934924316738,1.3862943611198906,7.60887062919126,2.3978952727983707,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,1,1,1,2,4.532599493153256,2.9444389791664403,2.9444389791664403,106.0,4.672828834461906,3.091042453358316,3.1354942159291497,1,1.0986122886681098,18.80551387574951
Belongs in Collection,16000000,0.0,['Horror'],1,10,0.6931471805599453,2.3978952727983707,0,1,"['Magnet Releasing', 'Drafthouse Films', 'Timpson Films']",0,1.3862943611198906,0.0,5.501258210544727,1.6094379124341003,7.608374474380783,2.3978952727983707,1.0986122886681098,1,English is Spoken Language,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0943445622221,2.3978952727983707,2.3978952727983707,125.0,4.836281906951478,2.772588722239781,3.4657359027997265,0,0.0,8.877939834725023
Belongs in Collection,140000000,18.757152987716434,"['Action', 'Comedy', 'Crime', 'Thriller']",4,15,1.6094379124341003,2.772588722239781,0,1,['New Line Cinema'],1,0.6931471805599453,0.6931471805599453,5.966146739123692,1.3862943611198906,7.60489448081162,2.1972245773362196,0.0,1,English is Spoken Language,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2.9444389791664403,2.6390573296152584,2.6390573296152584,91.0,4.5217885770490405,2.4849066497880004,2.9444389791664403,0,1.0986122886681098,19.36855631746733
Not in Collection,30000000,17.216707972959764,"['Action', 'Crime', 'Thriller']",3,15,1.3862943611198906,2.772588722239781,1,1,"['Lawrence Bender Productions', 'IM Global', 'Automatik Entertainment', 'Trigger Street Productions', '87Eleven']",0,1.791759469228055,0.0,5.424950017481403,0.6931471805599453,7.607381425639791,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,0,1,0,0,0,1,0,1,0,0,3.5553480614894135,2.772588722239781,2.772588722239781,94.0,4.553876891600541,1.6094379124341003,2.70805020110221,0,0.0,17.513007450073736
Not in Collection,16000000,0.0,"['Comedy', 'Romance']",2,9,1.0986122886681098,2.302585092994046,0,1,"['Bórd Scannán na hÉireann', 'British Broadcasting Corporation (BBC)', 'Venus Productions']",0,1.3862943611198906,0.0,4.770684624465665,1.791759469228055,7.601402334583733,0.6931471805599453,0.6931471805599453,1,English is Spoken Language,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.0,0.0,105.0,4.663439094112067,2.3978952727983707,2.70805020110221,0,0.0,11.928736865132537
Not in Collection,50000000,17.72753358339242,"['Action', 'Drama', 'Science Fiction', 'Thriller']",4,15,1.6094379124341003,2.772588722239781,0,1,"['Kopelson Entertainment', 'Punch Productions', 'Warner Bros.', 'Arnold Kopelson Productions']",0,1.6094379124341003,0.6931471805599453,5.529429087511423,1.791759469228055,7.59890045687141,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,1,1,1,0,0,0,0,1,1,0,1,1,2,2.6390573296152584,2.4849066497880004,2.4849066497880004,127.0,4.852030263919617,2.1972245773362196,2.70805020110221,0,0.0,19.061795204185188
Not in Collection,16000000,0.0,['Thriller'],1,12,0.6931471805599453,2.5649493574615367,1,1,[],0,0.0,0.0,4.61512051684126,1.791759469228055,7.607878073278507,2.302585092994046,0.6931471805599453,1,English is Spoken Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,1.0986122886681098,90.0,4.51085950651685,2.9444389791664403,1.791759469228055,0,0.0,11.430641079947755
Not in Collection,3800000,15.150511887854474,"['War', 'Western']",2,2,1.0986122886681098,1.0986122886681098,0,1,"['Columbia Pictures Corporation', 'Jerry Bresler Productions']",0,1.0986122886681098,0.0,5.5093883366279774,1.0986122886681098,7.633369649679584,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493574615367,2.0794415416798357,2.0794415416798357,123.0,4.820281565605037,2.5649493574615367,2.70805020110221,0,0.0,9.607370001263245
Belongs in Collection,16000000,0.0,"['Action', 'Documentary']",2,15,1.0986122886681098,2.772588722239781,1,1,['Rakontur'],0,0.6931471805599453,0.0,5.796057750765372,1.3862943611198906,7.604396348796338,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,118.0,4.77912349311153,2.772588722239781,1.9459101490553132,0,0.0,12.001511614739405
Not in Collection,3000000,14.914123179965662,"['Crime', 'Drama']",2,5,1.0986122886681098,1.791759469228055,0,1,"['Warner Bros.', 'Jalem Productions']",0,1.0986122886681098,0.0,6.095824562432225,1.3862943611198906,7.63433723562832,1.9459101490553132,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,1,0,1,0,0,3.367295829986474,2.8903717578961645,2.8903717578961645,126.0,4.844187086458591,2.70805020110221,3.4965075614664802,0,0.0,16.601618359255742
Not in Collection,25000000,17.034386422832473,['Comedy'],1,9,0.6931471805599453,2.302585092994046,0,1,"['Paramount Pictures', 'Lakeshore Entertainment']",1,1.0986122886681098,0.6931471805599453,5.655991810819852,1.791759469228055,7.601402334583733,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2.5649493574615367,2.0794415416798357,2.0794415416798357,108.0,4.6913478822291435,2.995732273553991,2.4849066497880004,0,0.0,17.008566828481705
Not in Collection,6000000,15.607270193858982,['Drama'],1,4,0.6931471805599453,1.6094379124341003,0,1,"['Revelations Entertainment', 'Lascaux Films', 'Latitude Productions']",0,1.3862943611198906,0.0,5.209486152841421,1.791759469228055,7.608374474380783,2.302585092994046,0.6931471805599453,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493574615367,1.9459101490553132,1.9459101490553132,92.0,4.532599493153256,2.5649493574615367,3.4965075614664802,0,0.6931471805599453,13.836216698538003
Not in Collection,15000000,16.52356082573315,"['Comedy', 'Romance']",2,9,1.0986122886681098,2.302585092994046,1,1,"['26 Films', 'Gold Circle Films', 'Visionview Production']",0,1.3862943611198906,0.6931471805599453,6.059123195581797,1.791759469228055,7.603897968521881,1.0986122886681098,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493574615367,1.3862943611198906,1.3862943611198906,88.0,4.48863636973214,2.833213344056216,2.3978952727983707,0,0.0,17.66937547592761
Not in Collection,3906840,15.178239677022763,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",5,5,1.791759469228055,1.791759469228055,0,0,"['Indigo Film', 'Medusa Film']",0,1.0986122886681098,0.0,5.267858159063328,1.791759469228055,7.605890001053122,2.3978952727983707,1.0986122886681098,1,English is Not Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0794415416798357,0.0,0.0,95.0,4.564348191467836,2.772588722239781,2.772588722239781,0,0.0,15.274125813221904
Belongs in Collection,80000000,18.197537205138154,"['Animation', 'Family', 'Comedy', 'Adventure']",4,16,1.6094379124341003,2.833213344056216,1,1,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",1,1.0986122886681098,1.0986122886681098,5.780743515792329,1.6094379124341003,7.604396348796338,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,1,0,1,0,0,1,1,1,1,0,0,0,0,2.3978952727983707,1.3862943611198906,1.3862943611198906,91.0,4.5217885770490405,3.091042453358316,3.7612001156935624,0,1.3862943611198906,20.309174803787407
Not in Collection,44000000,17.599700214609808,"['Crime', 'Drama', 'Mystery', 'Western']",4,5,1.6094379124341003,1.791759469228055,1,1,"['Double Feature Films', 'The Weinstein Company', 'FilmColony']",0,1.3862943611198906,0.0,4.663439094112067,1.791759469228055,7.60887062919126,2.5649493574615367,0.0,1,English is Spoken Language,1,1,0,0,1,2,0,0,0,1,0,1,0,2,4.356708826689592,2.8903717578961645,2.8903717578961645,167.0,5.123963979403259,2.8903717578961645,2.9444389791664403,0,0.6931471805599453,18.863827676603687
Not in Collection,16000000,0.0,"['Drama', 'Comedy']",2,4,1.0986122886681098,1.6094379124341003,0,1,['Ad Hominem Enterprises'],0,0.6931471805599453,0.0,4.477336814478207,1.791759469228055,7.609862200913554,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265,2.1972245773362196,2.1972245773362196,94.0,4.553876891600541,1.9459101490553132,3.8066624897703196,0,0.0,13.390789233250414
Belongs in Collection,38000000,17.453096744006448,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",4,18,1.6094379124341003,2.9444389791664403,0,1,['Paramount Pictures'],1,0.6931471805599453,0.6931471805599453,5.517452896464707,1.6094379124341003,7.598399329323964,2.4849066497880004,1.3862943611198906,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,2.4849066497880004,2.4849066497880004,118.0,4.77912349311153,3.1354942159291497,2.8903717578961645,0,0.6931471805599453,18.603002309079653
Not in Collection,560000,13.235693848424024,"['Romance', 'Drama', 'Comedy']",3,11,1.3862943611198906,2.4849066497880004,1,0,[],0,0.0,0.0,6.659293919683638,1.3862943611198906,7.605392364814935,0.6931471805599453,0.6931471805599453,1,English is Not Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.0,0.0,102.0,4.634728988229636,2.772588722239781,2.302585092994046,0,0.0,14.220976332738882
